,precision,recall,f1-score,support
0,0.9263267429760667,0.9404183393196704,0.9333193541622982,4733.0
1,0.9324550898203593,0.916647044972922,0.9244834956067443,4247.0
accuracy,0.9291759465478842,0.9291759465478842,0.9291759465478842,0.9291759465478842
macro avg,0.929390916398213,0.9285326921462962,0.9289014248845212,8980.0
weighted avg,0.9292250825136735,0.9291759465478842,0.9291405243977728,8980.0
